root_symbol,root_symbol,exchange,name_x,name_y,multiplier,tick_size
IBV,IBV,CME,Ibovespa Futures,Ibovespa (USD Denominated),1,0.25
IN,IN,NYMEX,Henry Hub Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,,,
J2,J2,NYMEX,PJM JCPL Zone Peak Calendar-Month Day-Ahead LMP Futures,,,
J4,J4,NYMEX,PJM Western Hub Day-Ahead Peak Calendar-Month 5 MW Futures  ,PJM Western Hub Day-Ahead Peak Calendar-Month 5 MW,80,0.05
J7,J7,CME,E-mini Japanese Yen Futures,e-mini Japanese Yen,625000,0.05
JM,JM,NYMEX,PJM Western Hub Real-Time Peak Calendar-Month 2.5 MW Futures,PJM Western Hub Real-Time Peak Calendar-Month,1,0.05
JP,JP,NYMEX,PJM Off-Peak Calendar-Month LMP Futures,PJM Off-Peak Electricity,1,0.05
JR,JR,CBT,Dow Jones Real Estate Futures,DJ Real Estate Index,100,0.1
JS,JS,NYMEX,Los Angeles Jet (OPIS) vs. NY Harbor ULSD Futures,L.A. Jet (OPIS) Swap,42000,0.01
JY,JY,CME,Japanese Yen Futures,Japanese Yen,125000,0.05
K2,K2,NYMEX,MISO Indiana Hub (formerly Cinergy Hub) Day-Ahead Off-Peak Calendar-Month 5 MW Futures,,,
K3,K3,NYMEX,NYISO Zone A Day-Ahead Peak Calendar-Month 5 MW Futures,,,
K4,K4,NYMEX,NYISO Zone A Day-Ahead Off-Peak Calendar-Month 5 MW Futures,,,
KA,KA,NYMEX,NYISO Zone A Peak LBMP Futures,NYISO A Electricity,400,0.01
KB,KB,NYMEX,NYISO Zone A Off-Peak LBMP Futures,,,
KG,KG,NYMEX,NYISO Zone G Peak LBMP Futures,NYISO G Electricity,400,0.01
KH,KH,NYMEX,NYISO Zone G Off-Peak LBMP Futures,,,
KI,KI,NYMEX,ISO New England Monthly Off Peak LMP Swap Future,ISO New England Off-Peak Electricity,970,0.05
KJ,KJ,NYMEX,NYISO Zone J Peak LBMP Futures,NYISO J Electricity,400,0.01
KK,KK,NYMEX,NYISO Zone J Off-Peak LBMP Futures,,,
KS,KS,NYMEX,Singapore Jet Kerosene (Platts) Futures,Singapore Jet Fuel Swap,1000,0.01
KW,KW,CBT,KC HRW Wheat Futures,Kansas City HRW Wheat,50,0.02
L1,L1,NYMEX,PJM Western Hub Peak Calendar-Month Real-Time LMP Futures,PJM Western Hub Peak Calendar-Month Real-Time LMP,80,0.05
L3,L3,NYMEX,PJM Northern Illinois Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,PJM Northern Illinois Hub Off-Peak Calendar-Month Day-Ahead LMP Swap,5,0.05
L4,L4,NYMEX,Tennessee 800 Leg Natural Gas (Platts Gas Daily/Platts IFERC) Index Futures,,,
L5,L5,NYMEX,PJM PPL Zone Peak Calendar-Month Day-Ahead LMP Futures,,,
L6,L6,NYMEX,PJM PSEG Zone Peak Calendar-Month Day-Ahead LMP 5 MW Futures,,,
L9,L9,NYMEX,ISO New England West Central Massachusetts Zone 5 MW Off-Peak Calendar-Month Day Ahead LMP Futures,ISO New England West Central Massachusetts Zone Off-Peak Day Ahead LMP,5,0.01
LB,LB,CME,Random Length Lumber Futures,Lumber,110,0.01
LC,LC,CME,Live Cattle Futures,Live Cattle,400,0.025
LN,LN,CME,Lean Hog Futures,,,
LT,LT,NYMEX,Gulf Coast ULSD (Platts) Up-Down Futures,Up-Down GC USLD vs NYMEX HO Spread,42000,0.01
LY,LY,NYMEX,Gulf Coast ULSD (Platts) Futures,Gulf Coast ULSD (Platts),42000,0.01
M6B,M6B,CME,E-micro British Pound/American Dollar Futures,e-micro GBP / USD,6250,0.01
M6E,M6E,CME,E-micro Euro/American Dollar Futures,e-micro EUR/USD,12500,0.1
MBE,MBE,NYMEX,Mont Belvieu Spot Ethylene In-Well Futures,,,
MBN,MBN,NYMEX,Mont Belvieu Ethylene (PCW) Financial Futures,,,
MCC,MCC,NYMEX,Indonesian Coal (McCloskey sub-bituminous) Futures,,,
MD,MD,CME,E-mini S&P MidCap 400 Futures,S&P MidCap 400 Index,500,0.05
ME,ME,NYMEX,Gulf Coast Jet (Platts) Up-Down Futures,Gulf Coast Jet vs NYH#2 HO Spread,42000,0.01
MEL,MEL,NYMEX,MISO Indiana Hub (formerly Cinergy Hub) Real-Time Peak Calendar-Month 2.5 MW Futures,,,
MEO,MEO,NYMEX,Mini Gasoline Euro-bob Oxy NWE Barges (Argus) Futures,,,
MF,MF,NYMEX,Gulf Coast No. 6 Fuel Oil 3.0% (Platts) Futures,,,
MFF,MFF,NYMEX,Coal (API4) FOB Richards Bay (ARGUS-McCloskey) Futures,,,
MG,MG,NYMEX,Gulf Coast No. 6 Fuel Oil (Platts) Crack Spread Futures,,,
MGC,MGC,CEC,E-micro Gold Futures,E-Micro Gold,10,0.01
MJN,MJN,NYMEX,Mini Japan C&F Naphtha (Platts) Futures,,,
MM,MM,NYMEX,New York Harbor Residual Fuel 1.0% (Platts) Futures,New York Harbor Residual Fuel 1% Sulfur Swap,1000,0.01
MNB,MNB,NYMEX,Mont Belvieu Normal Butane LDH (OPIS) Futures,,,
MNC,MNC,NYMEX,Mini European Naphtha CIF NWE (Platts) Futures,,,
MOD,MOD,NYMEX,PJM ATSI Zone 5 MW Off-Peak Calendar-Month Day-Ahead Futures,,,
MP,MP,CME,Mexican Peso Futures,Mexican Peso,500000,0.01
MPX,MPX,NYMEX,NY Harbor ULSD Financial Futures,,,
MTF,MTF,NYMEX,Coal (API2) CIF ARA (ARGUS-McCloskey) Futures,Coal (API2) CIF ARA (ARGUS-McCloskey),1000,0.05
MTS,MTS,NYMEX,Mini Singapore Fuel Oil 380 cst (Platts) Futures,,,
N1,N1,NYMEX,ERCOT West 345 kV Hub 5 MW Peak Futures,,,
N1U,N1U,CBT,10 Year USD Deliverable Interest Rate Swap Futures,10yr Deliverable Interest Rate Swap,1000,0.05
N1Y,N1Y,CME,Nikkei/Yen Futures,,,
N3,N3,NYMEX,PJM Northern Illinois Hub Day-Ahead LMP Peak Calendar-Month 5 MW Futures,,,
N9,N9,NYMEX,PJM Western Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,PJM Western Hub Real-Time Off-Peak,5,0.01
ND,ND,CME,NASDAQ 100 Futures,Nasdaq 100,100,0.25
NE,NE,CME,New Zealand Dollar Futures,,,
NEN,NEN,NYMEX,ANR Oklahoma Natural Gas (Platts IFERC) Basis Futures,,,
NF,NF,CME,Non-fat Dry Milk Futures,,,
NFN,NFN,NYMEX,MichCon Natural Gas (Platts IFERC) Basis Futures,,,
NG,NG,NYMEX,Natural Gas (Henry Hub) Physical Futures,Henry Hub Natural Gas,10000,0.01
NH,NH,NYM,Houston Ship Channel Natural Gas (Platts IFERC) Basis Futures,,,
NI,NI,NYMEX,ISO New England Mass Hub Day-Ahead Peak Calendar-Month 2.5 MW Futures,,,
NJ,NJ,NYMEX,San Juan Natural Gas (Platts IFERC) Basis Futures,San Juan Natural Gas Basis,1,0.01
NK,NK,CME,Nikkei/USD Futures,Nikkei 225 Index,5,0.05
NKN,NKN,NYMEX,Sumas Natural Gas (Platts IFERC) Basis Futures,,,
NL,NL,NYMEX,NGPL Mid-Con Natural Gas (Platts IFERC) Basis Futures,NGPL Mid Continent,1,0.01
NN,NN,NYMEX,Henry Hub Swap Futures,Henry Hub Natural Gas Swap,2500,0.01
NP,NP,NYMEX,Henry Hub Penultimate NP Futures,,,
NQ,NQ,CME,E-mini NASDAQ 100 Futures,e-mini Nasdaq 100 Index,20,0.25
NR,NR,NYMEX,Rockies Natural Gas (Platts IFERC) Basis Futures,Rockies NW Pipeline Natural Gas Basis,1,0.01
NS,NS,NYMEX,SoCal Natural Gas (Platts IFERC) Basis Futures,SoCal Natural Gas Basis,2500,0.01
NW,NW,NYMEX,Waha Natural Gas (Platts IFERC) Basis Futures,WAHA Natural Gas Basis,1,0.01
NX,NX,NYMEX,Texas Eastern Zone M-3 Natural Gas (Platts IFERC) Basis Futures,Texas Eastern Natural Gas Zone M-3 Basis,2500,0.01
NYF,NYF,NYMEX,NY Fuel Oil 1.0% (Platts) vs. European 1% Fuel Oil Cargoes FOB NWE (Platts) Futures,,,
NZ,NZ,NYMEX,Transco Zone 6 Natural Gas (Platts IFERC) Basis Futures,Transco Zone 6 Natural Gas Basis,1,0.01
O,O,CBT,Oats Futures,Oats,50,0.02
