,amount,commission,dt,order_id,price,sid,symbol,txn_dollars
2009-12-29 21:00:00+00:00,-656,,2009-12-29 21:00:00+00:00,f4e76e0f121b4de3a359fa3346196247,114.937,Future(8359 [USH10]),Future(8359 [USH10]),75398671.99999999
2009-12-31 21:00:00+00:00,249,,2009-12-31 21:00:00+00:00,98ac8a7214e34739aa03834e762f6e45,396.1,Future(8362 [PAH10]),Future(8362 [PAH10]),-9862890.0
2010-01-05 21:00:00+00:00,15558,,2010-01-05 21:00:00+00:00,e9bf5867e5324d5badef3bfcff892533,99.875,Future(8308 [FFF10]),Future(8308 [FFF10]),-6474914826.75
2010-01-05 21:00:00+00:00,139,,2010-01-05 21:00:00+00:00,1c3eece4a2784a4fba1200113f7d0373,1533.0,Future(8381 [PLJ10]),Future(8381 [PLJ10]),-10654350.0
2010-01-06 21:00:00+00:00,249,,2010-01-06 21:00:00+00:00,2bcdd948a89b405c8bf13103e7743006,0.968,Future(8349 [CDH10]),Future(8349 [CDH10]),-24103200.0
2010-01-06 21:00:00+00:00,69,,2010-01-06 21:00:00+00:00,7e0f6a51d83c4c7e99209dec14701264,2.18,Future(8307 [HOG10]),Future(8307 [HOG10]),-6317640.000000001
2010-01-07 21:00:00+00:00,8422,,2010-01-07 21:00:00+00:00,22728398399047f6a9a5cf4a6f9d82ab,99.695,Future(8330 [EDH10]),Future(8330 [EDH10]),-2099078224.9999998
2010-01-07 21:00:00+00:00,317,,2010-01-07 21:00:00+00:00,19bf356d28824f719c4ebe317ad3cf09,416.5,Future(8334 [CH10]),Future(8334 [CH10]),-6601525.0
2010-01-07 21:00:00+00:00,72,,2010-01-07 21:00:00+00:00,e00d570b6eca4d689126bf38b43839dc,83.2,Future(8299 [CLG10]),Future(8299 [CLG10]),-5990400.000000001
2010-01-07 21:00:00+00:00,68,,2010-01-07 21:00:00+00:00,64c0d53d94f9401c989a384fe2be7b66,2.14,Future(8309 [RBG10]),Future(8309 [RBG10]),-6111840.0
2010-01-08 21:00:00+00:00,94,,2010-01-08 21:00:00+00:00,aa4f554df3c04a5f94cf3db53d8765cb,3.433,Future(8363 [HGH10]),Future(8363 [HGH10]),-8067550.0
2010-01-08 21:00:00+00:00,-175,,2010-01-08 21:00:00+00:00,ce932c1eee1d4c718506f091647fb0e2,3.4,Future(8300 [HGF10]),Future(8300 [HGF10]),14875000.0
2010-01-13 21:00:00+00:00,-15558,,2010-01-13 21:00:00+00:00,6246762c06c14cc9b29ac8de93b6ad3a,99.887,Future(8308 [FFF10]),Future(8308 [FFF10]),6475692788.982
2010-01-14 21:00:00+00:00,-317,,2010-01-14 21:00:00+00:00,8430654c8abd465889fbd4be9c31c83d,377.0,Future(8334 [CH10]),Future(8334 [CH10]),5975450.0
2010-01-14 21:00:00+00:00,14549,,2010-01-14 21:00:00+00:00,c3efd75babc24ac082ce2bb340ca5470,99.887,Future(8308 [FFF10]),Future(8308 [FFF10]),-6055717597.821
2010-01-14 21:00:00+00:00,626,,2010-01-14 21:00:00+00:00,8c7655fb17734416a019ef215997187b,69.2,Future(8311 [LNG10]),Future(8311 [LNG10]),-17327680.0
2010-01-15 21:00:00+00:00,-14549,,2010-01-15 21:00:00+00:00,e8128fd3483642a181ef68ba88ac490d,99.887,Future(8308 [FFF10]),Future(8308 [FFF10]),6055717597.821
2010-01-19 21:00:00+00:00,-245,,2010-01-19 21:00:00+00:00,01210931a0ac4262b885c1e732bb7acf,498.0,Future(8332 [WH10]),Future(8332 [WH10]),6100500.0
2010-01-20 21:00:00+00:00,-72,,2010-01-20 21:00:00+00:00,e3c1c3fcd96a46eb89d13516a307c0f5,78.88,Future(8299 [CLG10]),Future(8299 [CLG10]),5679360.0
2010-01-22 21:00:00+00:00,18332,,2010-01-22 21:00:00+00:00,320cca0069284103b4dc1e9e65076a72,99.87,Future(8325 [FFG10]),Future(8325 [FFG10]),-7629013772.280001
2010-01-22 21:00:00+00:00,-249,,2010-01-22 21:00:00+00:00,2452d7bcde7a431c8e6f7f7585a25742,0.95,Future(8349 [CDH10]),Future(8349 [CDH10]),23655000.0
2010-01-22 21:00:00+00:00,656,,2010-01-22 21:00:00+00:00,a95ae09cac7146849220c4b5cf901615,118.843,Future(8359 [USH10]),Future(8359 [USH10]),-77961008.0
2010-01-22 21:00:00+00:00,-69,,2010-01-22 21:00:00+00:00,41a6a69bdafd46059bceff6c584d1093,1.98,Future(8307 [HOG10]),Future(8307 [HOG10]),5738040.0
2010-01-25 21:00:00+00:00,-356,,2010-01-25 21:00:00+00:00,8a852b8cdf9949f7bb8fdc77553cf9a7,10560.0,Future(8329 [NKH10]),Future(8329 [NKH10]),18796800.0
2010-01-25 21:00:00+00:00,-443,,2010-01-25 21:00:00+00:00,cddf278150b94bf997609cc18fad5efe,367.0,Future(8334 [CH10]),Future(8334 [CH10]),8129050.0
2010-01-25 21:00:00+00:00,-464,,2010-01-25 21:00:00+00:00,5f96f7b58c2146aa88bc8c1ae9803f50,10166.0,Future(8354 [YMH10]),Future(8354 [YMH10]),23585120.0
2010-01-25 21:00:00+00:00,-68,,2010-01-25 21:00:00+00:00,0f7d1455065a402abac2d8602dae9819,1.96,Future(8309 [RBG10]),Future(8309 [RBG10]),5597760.0
